Chikkiku Chikkikichu,
Illaignar Paasarai,
Kathirvel Kaaka,
Om Shanti Om,
Pallikoodam Pogamale,
Viraivil Isai,
Iniya Ulavaga,
Kring Kring,
Uyirvarai Iniththaai,
Injimarappa,
Thoongaa Vanam,
Vedalam,
Oru Naal Iravil,
Aaranyam,
144,
Inji Iduppazhagi,
Uppu Karuvaadu,
Urumeen,
Eetti,
Thiruttu Rail,
Thanga Magan,
Bhooloham,
Pasanga 2,
Vellaiya Irukiravan Poi Solla Maatan,
Azhagu Kutti Chellam,2016
Karai Oram,
Maalai Nerathu Mayakkam,
Peigal Jaakkirathai,
Tharkappu,
Arithaaram,
Kurangu Kaila Poo Maalai,
Meenakshi Kadhalan Ilangovan,
Thigilodu Vilaiyaadu,
Gethu,
Kathakali,
Rajini Murugan,
Tharai Thappattai,
Moondraam Ullaga Por,
Aranmanai 2,
Irudhi Suttru,
Naalu Per Naalu Vidhama Pesuvaanga,
Nanaiyadhe Mazhaiye,
Bangalore Naatkal,
Irandu Manam Vendum,
Naalai Mudhal Kudikka Matten,
Saagasam,
Sethu Boomi,
Visaranai,
Anjala,
Jil Jung Juk,
Vennilavin Arangetram,
Vil Ambu,
Miruthan,
Navarasa Thilagam,
Sethupathi,
Aarathu Sinam,
Kanithan,
Nayyapudai,
Pakki Payaluga,
Pichaikkaran,
Pokkiri Raja,
Sowkarpettai,
Aviyal,
Enna Pidichirukka,
Kadhalum Kadandhu Pogum,
Kathiravanin Kodai Mazhai,
Mapla Singam,
Natpadhigaram 79,
Aagam,
Endru Thaniyum,
Pugazh,
Sawaari,
Vidayutham,
Adida Melam,
Anbudan Anbarasi,
Thozha,
Vaaliba Raja,
Zero,
Darling 2,
Hello Naan Pei Pesuren,
Narathan,
Uyire Uyire,
Avan Aval,
Jithan 2,
Kida Poosari Magudi,
Mudhal Thagaval Arikkai,
Oyee,
Tea Kadai Raja,
Nijama Nizhala,
Theri,
Yokkiyan Varan Somba Thooki Ulla Vai,
Maasi Veedhi,
Ennul Aayiram,
Guhan,
Oru Nodiyil,
Vetrivel,
Kalam,
Kanden Kadhal Konden,
Manithan,
Saalaiyoram,
24,
Edaal,
Inaiya Thalaimurai,
Jumbulingam 3D,
Ko 2,
Pencil,
Unnodu Ka,
Katha Solla Porom,
Kodeeswaran,
Marudhu,
Idhu Namma Aalu,
Jeniffer Karuppaiya,
Meera Jaakirathai,
Sutta Pazham Sudaatha Pazham,
Uriyadi,
Iraivi,
Kallathoni,
Velainu Vandhutta Vellaikaaran,
Oru Naal Koothu,
Pandiyoda Galatta Thaangala,
Vithaiyadi Naanunakku,
Angali Pangali,
Enakku Innoru Per Irukku,
Muthina Kathirikai,
Amma Kanakku,
Metro,
Raja Manthiri,
Appa,
Jackson Durai,
Oru Melliya Kodu,
Paisa,
Adra Machan Visilu,
Dhilluku Dhuddu,
Arthanari,
Ka Ka Ka Po,
Kizhakku Chandu,
Kodambakkam Kokila,
Megamoottam,
Onbathilirindhu Pathu Varai,
Summave Aaduvom,
Kabali,
Vellikizhamai 13 am Thethi,
Sandikuthirai,
Ennama Kadha Vudranunga,
Tamilselvanum Thaniyar Anjalum,
Thirunaal,
Joker,
Mudinja Ivana Pudi,
Wagah,
Dharma Durai,
Nambiar,
Yaanai Mel Kuthirai Sawaari,
Bayam Oru Payanam,
54321,
Andha Kuyil Needhana,
Enakku Veru Engum Kilaigal Kidayathu,
Meendum Oru Kadhal Kadhai,
Vendru Varuvaan,
Ilamai Oonjal,
Kidaari,
Kuttrame Thandanai,
Thagadu,
Iru Mugan,
Vaaimai,
Pudhusa Naan Poranthen,
Nayagi,
Karma,
Pagiri,
Sadhuram 2,
Uchathula Shiva,
Thodari,
Aandavan Kattalai,
Oruthal,
Aasi,
Kallattam,
Kanaga Durga,
Kollidam,
Nunnunarvu,
Thirumaal Perumai,
Devi,
Rekka,
Remo,
Ammani,
Kagitha Kappal,
Nee Enbathu,
Nenjukkulla Nee Neranjirukka,
Kaashmora,
Kodi,
Thiraikku Vaaradha Kadhai,
Kadalai,
Ini Avanea,
Achcham Yenbadhu Madamaiyada,
Meen Kuzhambum Mann Paanaiyum,
Anjukku Onnu,
Kadavul Irukaan Kumaru,
Kavalai Vendam,
Ilami,
Kannula Kaasa Kattappa,
Pattathaari,
Virumandikum Sivanandikum,
Saithan,
Azhahendra Sollukku Amudha,
Maaveeran Kittu,
Pazhaya Vannarapettai,
Atti,
Chennai 600028 II: Second Innings,
Parandhu Sella Vaa,
Andaman,
Veera Sivaji,
Balle Vellaiyathevaa,
Kaththi Sandai,
Manal Kayiru 2,
Ner Mugam,
Dhuruvangal Pathinaaru,
Achamindri,
Adhiran,
Eganapuram,
Kandadhai Sollugiren,
Meow,
Mo,
Thalaiyatti Bommai,
Pachaikili Parimala,2017
Peiyena Peiyum Kurudhi,
Soorathengai,
